Data Size,Insertion Time (ms),Search Time (ms),RBAR Calculation (ms),Top-5 Retrieval (ms),Top-10 Retrieval (ms),Top-25 Retrieval (ms),Top-50 Retrieval (ms)
1000,0.005,0.012,0.038,0.028,0.026,0.026,0.084
5000,0.006,0.042,0.067,0.043,0.041,0.042,0.041
10000,0.008,0.043,0.061,0.077,0.074,0.074,0.070
25000,0.012,0.138,0.161,0.148,0.156,0.141,0.138
41457,0.018,0.332,0.361,0.344,0.351,0.289,0.313
