Data Size,Insertion Time (ms),Search Time (ms),RBAR Calculation (ms),Top-5 Retrieval (ms),Top-10 Retrieval (ms),Top-25 Retrieval (ms),Top-50 Retrieval (ms),Tree Height,Is Balanced
1000,2.246,0.002,0.006,0.005,0.002,0.003,0.003,25,false
5000,10.842,0.002,0.004,0.001,0.001,0.001,0.001,29,false
10000,17.103,0.001,0.004,0.001,0.001,0.001,0.001,36,false
25000,43.195,0.003,0.004,0.002,0.002,0.003,0.003,22,false
41457,69.602,0.003,0.007,0.003,0.002,0.003,0.003,161,false
