Data Size,Insertion Time (ms),Search Time (ms),RBAR Calculation (ms),Top-5 Retrieval (ms),Top-10 Retrieval (ms),Top-25 Retrieval (ms),Top-50 Retrieval (ms),Tree Height,Is Balanced
1000,0.499,0.000,0.014,0.025,0.016,0.072,0.018,4,true
5000,0.395,0.000,0.012,0.022,0.020,0.019,0.020,6,true
10000,1.290,0.000,0.015,0.037,0.038,0.035,0.032,8,true
25000,2.592,0.000,0.018,0.021,0.018,0.022,0.018,9,true
41457,5.104,0.000,0.020,0.033,0.030,0.028,0.027,9,true
