Data Size,Insertion Time (ms),Search Time (ms),RBAR Calculation (ms),Top-5 Retrieval (ms),Top-10 Retrieval (ms),Top-25 Retrieval (ms),Top-50 Retrieval (ms)
1000,0.009,0.010,0.036,0.062,0.031,0.029,0.029
5000,0.008,0.035,0.057,0.047,0.045,0.047,0.045
10000,0.013,0.042,0.072,0.084,0.081,0.085,0.085
25000,0.016,0.139,0.157,0.170,0.162,0.158,0.166
41457,0.018,0.335,0.359,0.404,0.374,0.401,0.424
